pot_name,tech_name,year,included,min_levelised_cost,max_levelised_cost,strike_price,load_factor,max_deployment_cap,num_new_projects,project_gen
M,PVLS,2028,True,67.6,76,80,0.1113,1.53,,11.7
M,PVLS,2029,True,65.8,74,80,0.1113,1.53,,11.7
M,PVLS,2030,True,64,72,80,0.1113,1.53,,11.7
SN,NU,2020,True,79,102,100.609806276033,0.8,0,,10000
SN,NU,2021,True,78.2,101.8,98.9878450208266,0.8,0,,10000
SN,NU,2022,True,77.4,101.6,97.3658837656199,0.8,0,,10000
SN,NU,2023,True,76.6,101.4,90,0.8,0,,10000
SN,NU,2024,True,75.8,101.2,90,0.8,2.9,,10000
SN,NU,2025,True,75,101,92.5,0.9,0,,10000
SN,NU,2026,True,73.4,98.6,89.8,0.9,3.2,,10000
SN,NU,2027,True,71.8,96.2,87.1,0.9,2.9,,10000
SN,NU,2028,True,70.2,93.8,84.4,0.9,1.6,,10000
SN,NU,2029,True,68.6,91.4,81.7,0.9,0,,10000
SN,NU,2030,True,67,89,79,0.92,0,,10000
SN,TL,2020,True,150,150,0,0.22,,0,2200
SN,TL,2021,True,150,150,168,0.22,,1,2200
SN,TL,2022,True,150,150,168,0.22,,0,2200
SN,TL,2023,True,150,150,168,0.22,,0,2200
SN,TL,2024,True,150,150,168,0.22,,0,2200
SN,TL,2025,True,90,150,92,0.22,,1,2200
SN,TL,2026,True,120,120,129,0.22,,1,2200
SN,TL,2027,True,120,120,129,0.22,,1,2200
SN,TL,2028,True,120,120,129,0.22,,1,2200
SN,TL,2029,True,120,120,129,0.22,,1,2200
SN,TL,2030,True,120,120,129,0.22,,1,2200
